molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,units,value
CHEMBL85403,Cc1cccc2c1/C(=C/c1ccc[nH]1)C(=O)N2,100000.0,nM,,uM,100.0
CHEMBL329161,O=[N+]([O-])c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,897.0,nM,6.05,nM,897.0
CHEMBL333082,Nc1cccc2c(Nc3cccc(Br)c3)ncnc12,105.0,nM,6.98,nM,105.0
CHEMBL53690,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C(F)(F)F)c3)c2c1,0.91,nM,9.04,nM,0.91
CHEMBL21162,Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1Nc1nccc(-c2cccnc2)n1,100000.0,nM,,uM,100.0
CHEMBL158879,Cc1c(SSc2c(C)c3ccccc3n2C)n(C)c2ccccc12,100000.0,nM,,uM,100.0
CHEMBL297968,C=CC(=O)Nc1ccc2c(Nc3cccc(C)c3)ncnc2c1,1.6,nM,8.80,nM,1.6
CHEMBL126192,CCOc1cc2ncnc(Nc3cccc(-c4nccs4)c3)c2cc1OCC,2.0,nM,8.70,uM,0.002
CHEMBL86755,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,100000.0,nM,,uM,100.0
CHEMBL86943,CCOC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C,100000.0,nM,,uM,100.0
CHEMBL157807,Cn1c(SSc2c(C(N)=O)c3ccccc3n2C)c(C(N)=O)c2ccccc21,4700.0,nM,5.33,uM,4.7
CHEMBL326095,Brc1cccc(Nc2nncc3ccccc23)c1,100000.0,nM,,nM,100000.0
CHEMBL328216,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,0.12,nM,9.92,nM,0.12
CHEMBL93032,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,0.17,nM,9.77,nM,0.17
CHEMBL126483,CCOc1cc2nc(CC)nc(Nc3cccc(-c4csc(C)n4)c3)c2cc1OCC,9300.0,nM,5.03,uM,9.3
CHEMBL87080,O=C1Nc2ccc(Br)cc2/C1=C/c1ccc(N2CCOCC2)cc1,10000.0,nM,,uM,10.0
CHEMBL86945,COc1ccc(/C=C2\C(=O)Nc3ccccc32)cc1C(C)(C)C,100000.0,nM,,uM,100.0
CHEMBL345641,O=C(Nc1ccccc1)c1c(SSc2[nH]c3ccccc3c2C(=O)Nc2ccccc2)[nH]c2ccccc12,100000.0,nM,4.00,uM,100.0
CHEMBL117711,c1cncc(Nc2ncnc3ccccc23)c1,1000.0,nM,,nM,1000.0
CHEMBL117710,Brc1cccc(Oc2ncnc3ccccc23)c1,756.0,nM,6.12,nM,756.0
CHEMBL119033,COc1cccc2ncnc(Nc3cccc(Br)c3)c12,139.0,nM,6.86,nM,139.0
CHEMBL116308,O=[N+]([O-])c1cccc2ncnc(Nc3cccc(Br)c3)c12,355.0,nM,6.45,nM,355.0
